Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
1003,0,0,1,Step,25  45  32,1,1,15,5,20,,no fault,45  47  32  38  25,47  45  38  52  31,1.4752,0.068264,0.0061211,,
1004,0,0,1,Step,25  45  32,1,1,15,5,20,,no fault,45  47  32  38  25,47  45  38  52  31,2.6982,0.13184,0.012452,,
1005,0,0,1,Step,25  45  32,1,1,15,5,20,,no fault,45  47  32  38  25,47  45  38  52  31,5.1922,0.26554,0.025758,,
1006,0,0,1,Step,14  31  11,1,1,15,5,20,,no fault,45  47  38  31  14,45  47  38  52  31,1.467,0.080401,0.009975,,
1007,0,0,1,Step,14  31  11,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  38  52  31,2.7577,0.1618,0.020707,,
1008,0,0,1,Step,14  31  11,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  38  31  52,5.6719,0.34799,0.044773,,
1009,0,0,1,Step,52  37  10,1,1,15,5,20,,no fault,45  47  52  37  38,45  47  52  38  31,1.2573,0.062618,0.0064157,,
1010,0,0,1,Step,52  37  10,1,1,15,5,20,,no fault,45  47  52  37  38,45  47  52  38  31,2.2614,0.11995,0.012991,,
1011,0,0,1,Step,52  37  10,1,1,15,5,20,,no fault,45  47  52  37  38,45  47  38  52  31,4.3156,0.24113,0.026648,,
1012,0,0,1,Step,6   2  37,1,1,15,5,20,,no fault,45  47  38   2  31,45  47  38  52  31,1.467,0.080401,0.0099751,,
1013,0,0,1,Step,6   2  37,1,1,15,5,20,,no fault,45  47  38  31   2,45  47  38  52  31,2.7577,0.1618,0.020707,,
1014,0,0,1,Step,6   2  37,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  38  31  52,5.672,0.34799,0.044773,,
